name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Jakarta,2023-02-15,30.2,25,27.3,34.5,25,29.6,23.5,80.1,9.841,100,16.67,rain,0,0,63,26.2,256.2,1008.6,56.8,6.9,121.4,10.3,5,10,2023-02-15T05:57:47,2023-02-15T18:15:54,0.82,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
Jakarta,2023-02-16,30,24,26.6,35.7,24,28.2,24.1,86.8,27.665,100,20.83,rain,0,0,36.7,25.6,253,1009.5,59.1,6.9,102,8.7,4,10,2023-02-16T05:57:54,2023-02-16T18:15:41,0.86,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
Jakarta,2023-02-17,30,24,26.8,34.1,24,28.7,23.7,84.1,4.036,100,20.83,rain,0,0,27.4,19,278.8,1009.6,63.8,6.2,172.5,14.8,6,30,2023-02-17T05:58:00,2023-02-17T18:15:28,0.89,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96737099999,96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
Jakarta,2023-02-18,31,25,27.6,39.1,25,31.1,24.7,84.8,5.886,100,12.5,rain,0,0,25.6,25.4,311,1009.5,56.7,6.7,204.5,17.7,7,30,2023-02-18T05:58:05,2023-02-18T18:15:13,0.93,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"96741099999,WIII,96739099999,96749099999,96751099999,96745099999"
Jakarta,2023-02-19,31,25,27.8,39.1,25,31.4,25,85.5,0.494,100,8.33,rain,0,0,35.3,24.1,294.9,1009.8,58.6,7,233.8,20.3,8,30,2023-02-19T05:58:10,2023-02-19T18:14:58,0.96,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,96749099999,96751099999,96745099999"
Jakarta,2023-02-20,31.1,25,27.8,35.6,25,30.4,24,80.7,9.713,100,8.33,rain,0,0,41,23.4,255.4,1009.4,49.1,7.4,242.5,21.1,9,10,2023-02-20T05:58:14,2023-02-20T18:14:42,0,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
Jakarta,2023-02-21,30.4,25,26.9,36,25,28.7,23.7,83.5,24.242,100,16.67,rain,0,0,36.4,18.4,262.7,1010.1,61.2,6.4,193.8,16.8,8,30,2023-02-21T05:58:17,2023-02-21T18:14:26,0.03,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
Jakarta,2023-02-22,30,24,26.6,35.5,24,28.6,24.3,87.9,5.058,100,25,rain,0,0,29.9,18.4,280.6,1010,69.7,5.8,118.3,10.2,5,30,2023-02-22T05:58:20,2023-02-22T18:14:09,0.06,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
Jakarta,2023-02-23,30.7,24,26.8,36.5,24,28.9,24.4,87.3,34.243,100,20.83,rain,0,0,36.4,21.8,292.8,1009,81.6,5.5,157.3,13.4,6,30,2023-02-23T05:58:22,2023-02-23T18:13:51,0.1,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
Jakarta,2023-02-24,28.7,24,25.9,34.3,24,27.5,24.7,93,93.885,100,25,rain,0,0,30.6,12.2,281.2,1009.7,75.9,5.4,127.7,10.9,5,10,2023-02-24T05:58:23,2023-02-24T18:13:32,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
Jakarta,2023-02-25,30,24.8,26.7,36.2,24.8,28.6,24.6,89.1,27.177,100,33.33,rain,0,0,38.5,20.5,285.1,1011.3,79.2,6.6,139.4,11.9,6,30,2023-02-25T05:58:24,2023-02-25T18:13:13,0.16,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96737099999,96741099999,WIII,96739099999,96749099999,96751099999,96745099999"
Jakarta,2023-02-26,29,24,26.3,35.6,24,28.3,24.6,90.4,53.384,100,33.33,rain,0,0,37.1,22.3,309.4,1011.6,74.9,6.3,183.9,16,7,30,2023-02-26T05:58:25,2023-02-26T18:12:53,0.19,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,96749099999,96751099999,96745099999"
Jakarta,2023-02-27,30,24.9,27,34.5,24.9,29.2,24.3,86,25.957,100,29.17,rain,0,0,34.9,22.3,292.5,1011.3,69.4,5.9,118.4,10.1,4,10,2023-02-27T05:58:25,2023-02-27T18:12:33,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
Jakarta,2023-02-28,30.7,24,26.5,36.5,24,28.4,24.1,87,28.825,100,16.67,rain,0,0,49.3,32.7,261.7,1011.7,69.6,6.2,122,10.6,7,10,2023-02-28T05:58:24,2023-02-28T18:12:12,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
Jakarta,2023-03-01,29.3,24,25.9,34.6,24,26.8,24.4,91.7,51.595,100,25,rain,0,0,38.9,27,272.6,1011.1,67.3,5.8,142.8,12.5,6,30,2023-03-01T05:58:23,2023-03-01T18:11:51,0.29,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
Jakarta,2023-03-02,26.8,23.9,25,29.7,23.9,25.1,23.7,93.1,33.515,100,25,rain,0,0,31.3,17,247.3,1012,72.1,5.8,59,5.1,2,10,2023-03-02T05:58:22,2023-03-02T18:11:29,0.33,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
Jakarta,2023-03-03,31,24,26.9,36.7,24,29,24,85,41.806,100,16.67,rain,0,0,40.3,21.8,260,1012.3,56.2,5.6,263,22.8,9,10,2023-03-03T05:58:20,2023-03-03T18:11:06,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96737099999,96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
Jakarta,2023-03-04,29.1,25,26.7,35.6,25,28.9,24.2,86.2,2.007,100,20.83,rain,0,0,44.6,25.9,265,1013.1,56.3,6.3,170.6,14.9,6,10,2023-03-04T05:58:17,2023-03-04T18:10:43,0.39,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,96749099999,96751099999,96745099999"
Jakarta,2023-03-05,30,24,26.8,36.2,24,29.3,24.6,87.8,2.862,100,12.5,rain,0,0,41.4,22.3,275.9,1012.7,55.4,7.1,231.6,20,9,30,2023-03-05T05:58:14,2023-03-05T18:10:20,0.42,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"96741099999,WIII,96739099999,96749099999,96751099999,96745099999"
Jakarta,2023-03-06,32.4,24,28,38.3,24,30.5,23.6,78.6,0,0,0,rain,0,0,42.5,26.1,260.4,1011.7,49.9,7.5,256.3,22,8,30,2023-03-06T05:58:11,2023-03-06T18:09:56,0.46,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
Jakarta,2023-03-07,31,24,27.6,36.8,24,30,23.7,80.6,2.896,100,4.17,rain,0,0,28.8,24.1,290.4,1011.2,52.2,7.7,264,22.6,9,30,2023-03-07T05:58:07,2023-03-07T18:09:31,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
